kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
ABE,Lehigh Valley International Airport,Allentown,US-PA,US,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,US-TX,US,32.4113006592,-99.6819000244
ABQ,Albuquerque International Sunport,Albuquerque,US-NM,US,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,US-SD,US,45.449100494384766,-98.42179870605467
ABY,Southwest Georgia Regional Airport,Albany,US-GA,US,31.532946,-84.196215
ACK,Nantucket Memorial Airport,Nantucket,US-MA,US,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,US-TX,US,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US-CA,US,40.978101,-124.109
ACY,Atlantic City International Airport,Atlantic City,US-NJ,US,39.45759963989258,-74.57720184326172
ADK,Adak Airport,Adak,US-AK,US,51.883564,-176.642783
ADQ,Kodiak Airport,Kodiak,US-AK,US,57.75,-152.4940033
AEX,Alexandria International Airport,Alexandria,US-LA,US,31.3274,-92.549797
AGS,Augusta Regional At Bush Field,Augusta,US-GA,US,33.3699,-81.9645
AKN,King Salmon Airport,King Salmon,US-AK,US,58.677845,-156.651965
ALB,Albany International Airport,Albany,US-NY,US,42.74829864501953,-73.80169677734375
ALO,Waterloo Regional Airport,Waterloo,US-IA,US,42.557098388671875,-92.40029907226562
AMA,Rick Husband Amarillo International Airport,Amarillo,US-TX,US,35.219398,-101.706001
ANC,Ted Stevens Anchorage International Airport,Anchorage,US-AK,US,61.179004,-149.992561
APN,Alpena County Regional Airport,Alpena,US-MI,US,45.0780983,-83.56030273
ART,Watertown International Airport,Watertown,US-NY,US,43.991901,-76.021698
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US-CO,US,39.223202,-106.869003
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US-GA,US,33.6367,-84.428101
ATW,Appleton International Airport,Appleton,US-WI,US,44.258099,-88.519096
AUS,Austin Bergstrom International Airport,Austin,US-TX,US,30.197535,-97.662015
AVL,Asheville Regional Airport,Asheville,US-NC,US,35.436199,-82.541801
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,US-PA,US,41.338500976599995,-75.72339630130001
AZA,Mesa Gateway Airport,Mesa,US-AZ,US,33.3078,-111.654999
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,US-MI,US,42.234901428222656,-85.5521011352539
BDL,Bradley International Airport,Hartford,US-CT,US,41.93851,-72.688066
BET,Bethel Airport,Bethel,US-AK,US,60.77980042,-161.8379974
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US-NE,US,41.87400055,-103.5960007
BFL,Meadows Field,Bakersfield,US-CA,US,35.433601,-119.056999
BGM,Greater Binghamton/Edwin A Link field,Binghamton,US-NY,US,42.20869827,-75.97979736
BGR,Bangor International Airport,Bangor,US-ME,US,44.8074,-68.828102
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,US-AL,US,33.562901,-86.753502
BIL,Billings Logan International Airport,Billings,US-MT,US,45.807701,-108.542999
BIS,Bismarck Municipal Airport,Bismarck,US-ND,US,46.772701263427734,-100.74600219726562
BJI,Bemidji Regional Airport,Bemidji,US-MN,US,47.50939941,-94.93370056
BKG,Branson Airport,Branson,US-MO,US,36.532082,-93.200544
BLI,Bellingham International Airport,Bellingham,US-WA,US,48.79280090332031,-122.53800201416016
BLV,Scott AFB/Midamerica Airport,Belleville,US-IL,US,38.5452,-89.835197
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,US-IL,US,40.4771,-88.915901
BNA,Nashville International Airport,Nashville,US-TN,US,36.1245,-86.6782
BOI,Boise Air Terminal/Gowen Field,Boise,US-ID,US,43.5644,-116.223
BOS,Logan International Airport,Boston,US-MA,US,42.36197,-71.0079
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,US-TX,US,29.9508,-94.020699
BQK,Brunswick Golden Isles Airport,Brunswick,US-GA,US,31.258801,-81.466499
BQN,Rafael Hernández International Airport,Aguadilla,PR-U-A,PR,18.4949,-67.129402
BRD,Brainerd Lakes Regional Airport,Brainerd,US-MN,US,46.402861,-94.129727
BRO,Brownsville South Padre Island International Airport,Brownsville,US-TX,US,25.90679931640625,-97.4259033203125
BRW,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,US-AK,US,71.285402,-156.766008
BTM,Bert Mooney Airport,Butte,US-MT,US,45.95479965209961,-112.49700164794922
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,US-LA,US,30.533199,-91.149597
BTV,Burlington International Airport,South Burlington,US-VT,US,44.471901,-73.153297
BUF,Buffalo Niagara International Airport,Buffalo,US-NY,US,42.940498,-78.732201
BUR,Hollywood Burbank Airport,Burbank,US-CA,US,34.197703,-118.356378
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US-MD,US,39.1754,-76.668297
BZN,Bozeman Yellowstone International Airport,Bozeman,US-MT,US,45.7775,-111.153
CAE,Columbia Metropolitan Airport,Columbia,US-SC,US,33.938801,-81.119499
CAK,Akron Canton Regional Airport,Akron,US-OH,US,40.91609954833984,-81.44219970703125
CDC,Cedar City Regional Airport,Cedar City,US-UT,US,37.70100021362305,-113.0989990234375
CDV,Merle K (Mudhole) Smith Airport,Cordova,US-AK,US,60.491798,-145.477997
CEC,Jack Mc Namara Field Airport,Crescent City,US-CA,US,41.778929,-124.236403
CGI,Cape Girardeau Regional Airport,Cape Girardeau,US-MO,US,37.2253,-89.570801
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,US-TN,US,35.035301,-85.203796
