date,day,month,quarter,year,day_of_week,day_name,week_of_year,season
2009-01-01,1,1,1,2009,3,Thursday,1,winter
2009-01-02,2,1,1,2009,4,Friday,1,winter
2009-01-03,3,1,1,2009,5,Saturday,1,winter
2009-01-04,4,1,1,2009,6,Sunday,1,winter
2009-01-05,5,1,1,2009,0,Monday,2,winter
2009-01-06,6,1,1,2009,1,Tuesday,2,winter
2009-01-07,7,1,1,2009,2,Wednesday,2,winter
2009-01-08,8,1,1,2009,3,Thursday,2,winter
2009-01-09,9,1,1,2009,4,Friday,2,winter
2009-01-10,10,1,1,2009,5,Saturday,2,winter
2009-01-11,11,1,1,2009,6,Sunday,2,winter
2009-01-12,12,1,1,2009,0,Monday,3,winter
2009-01-13,13,1,1,2009,1,Tuesday,3,winter
2009-01-14,14,1,1,2009,2,Wednesday,3,winter
2009-01-15,15,1,1,2009,3,Thursday,3,winter
2009-01-16,16,1,1,2009,4,Friday,3,winter
2009-01-17,17,1,1,2009,5,Saturday,3,winter
2009-01-18,18,1,1,2009,6,Sunday,3,winter
2009-01-19,19,1,1,2009,0,Monday,4,winter
2009-01-20,20,1,1,2009,1,Tuesday,4,winter
2009-01-21,21,1,1,2009,2,Wednesday,4,winter
2009-01-22,22,1,1,2009,3,Thursday,4,winter
2009-01-23,23,1,1,2009,4,Friday,4,winter
2009-01-24,24,1,1,2009,5,Saturday,4,winter
2009-01-25,25,1,1,2009,6,Sunday,4,winter
2009-01-26,26,1,1,2009,0,Monday,5,winter
2009-01-27,27,1,1,2009,1,Tuesday,5,winter
2009-01-28,28,1,1,2009,2,Wednesday,5,winter
2009-01-29,29,1,1,2009,3,Thursday,5,winter
2009-01-30,30,1,1,2009,4,Friday,5,winter
2009-01-31,31,1,1,2009,5,Saturday,5,winter
2009-02-01,1,2,1,2009,6,Sunday,5,winter
2009-02-02,2,2,1,2009,0,Monday,6,winter
2009-02-03,3,2,1,2009,1,Tuesday,6,winter
2009-02-04,4,2,1,2009,2,Wednesday,6,winter
2009-02-05,5,2,1,2009,3,Thursday,6,winter
2009-02-06,6,2,1,2009,4,Friday,6,winter
2009-02-07,7,2,1,2009,5,Saturday,6,winter
2009-02-08,8,2,1,2009,6,Sunday,6,winter
2009-02-09,9,2,1,2009,0,Monday,7,winter
2009-02-10,10,2,1,2009,1,Tuesday,7,winter
2009-02-11,11,2,1,2009,2,Wednesday,7,winter
2009-02-12,12,2,1,2009,3,Thursday,7,winter
2009-02-13,13,2,1,2009,4,Friday,7,winter
