Data, Dzien_miesiaca, Miesiac, Kwartal, Rok, Dzien_tygodnia, Nazwa_miesiaca_PL, Nazwa_miesiaca_EN, Nazwa_dnia_PL, Nazwa_dnia_EN
2009-01-01, 1, 1, 1, 2009, 4, Styczen, January, Sroda, Wednesday
2009-01-02, 2, 1, 1, 2009, 5, Styczen, January, Czwartek, Thursday
2009-01-03, 3, 1, 1, 2009, 6, Styczen, January, Piatek, Friday
2009-01-04, 4, 1, 1, 2009, 7, Styczen, January, Sobota, Saturday
2009-01-05, 5, 1, 1, 2009, 1, Styczen, January, Niedziela, Sunday
2009-01-06, 6, 1, 1, 2009, 2, Styczen, January, Poniedzialek, Monday
2009-01-07, 7, 1, 1, 2009, 3, Styczen, January, Wtorek, Tuesday
2009-01-08, 8, 1, 1, 2009, 4, Styczen, January, Sroda, Wednesday
2009-01-09, 9, 1, 1, 2009, 5, Styczen, January, Czwartek, Thursday
2009-01-10, 10, 1, 1, 2009, 6, Styczen, January, Piatek, Friday
2009-01-11, 11, 1, 1, 2009, 7, Styczen, January, Sobota, Saturday
2009-01-12, 12, 1, 1, 2009, 1, Styczen, January, Niedziela, Sunday
2009-01-13, 13, 1, 1, 2009, 2, Styczen, January, Poniedzialek, Monday
2009-01-14, 14, 1, 1, 2009, 3, Styczen, January, Wtorek, Tuesday
2009-01-15, 15, 1, 1, 2009, 4, Styczen, January, Sroda, Wednesday
2009-01-16, 16, 1, 1, 2009, 5, Styczen, January, Czwartek, Thursday
2009-01-17, 17, 1, 1, 2009, 6, Styczen, January, Piatek, Friday
2009-01-18, 18, 1, 1, 2009, 7, Styczen, January, Sobota, Saturday
2009-01-19, 19, 1, 1, 2009, 1, Styczen, January, Niedziela, Sunday
2009-01-20, 20, 1, 1, 2009, 2, Styczen, January, Poniedzialek, Monday
2009-01-21, 21, 1, 1, 2009, 3, Styczen, January, Wtorek, Tuesday
2009-01-22, 22, 1, 1, 2009, 4, Styczen, January, Sroda, Wednesday
2009-01-23, 23, 1, 1, 2009, 5, Styczen, January, Czwartek, Thursday
2009-01-24, 24, 1, 1, 2009, 6, Styczen, January, Piatek, Friday
2009-01-25, 25, 1, 1, 2009, 7, Styczen, January, Sobota, Saturday
2009-01-26, 26, 1, 1, 2009, 1, Styczen, January, Niedziela, Sunday
2009-01-27, 27, 1, 1, 2009, 2, Styczen, January, Poniedzialek, Monday
2009-01-28, 28, 1, 1, 2009, 3, Styczen, January, Wtorek, Tuesday
2009-01-29, 29, 1, 1, 2009, 4, Styczen, January, Sroda, Wednesday
2009-01-30, 30, 1, 1, 2009, 5, Styczen, January, Czwartek, Thursday
2009-01-31, 31, 1, 1, 2009, 6, Styczen, January, Piatek, Friday
2009-02-01, 1, 2, 1, 2009, 7, Luty, February, Sobota, Saturday
2009-02-02, 2, 2, 1, 2009, 1, Luty, February, Niedziela, Sunday
2009-02-03, 3, 2, 1, 2009, 2, Luty, February, Poniedzialek, Monday
2009-02-04, 4, 2, 1, 2009, 3, Luty, February, Wtorek, Tuesday
2009-02-05, 5, 2, 1, 2009, 4, Luty, February, Sroda, Wednesday
2009-02-06, 6, 2, 1, 2009, 5, Luty, February, Czwartek, Thursday
2009-02-07, 7, 2, 1, 2009, 6, Luty, February, Piatek, Friday
2009-02-08, 8, 2, 1, 2009, 7, Luty, February, Sobota, Saturday
